# The diagnostic code table.
#
# One row per code the toolchain emits: the code, a tab, and a one-line
# summary of what it refuses. Rows are ordered by family and then by number.
#
# This file is the source of truth. `foundation/app/Kira/Diagnostics.kira`,
# `foundation/app/Kira/DiagnosticCodes.kira`, and the generated region of
# `sites/docs/content/docs/appendix/diagnostics/index.mdx` are written from it
# by `cargo run -p kira-diagnostic-messages --bin kira-diagnostic-registry`.
# `tests/registry.rs` fails when a code is emitted that this file does not
# list, when this file lists one nothing emits, or when a generated artifact
# is stale.
#
# A `…` stands where the message interpolates a name, a type, or a count.
KLEX001	unexpected character in source: not a valid Kira token
KLEX002	unterminated string literal: the string is not closed before end of line
KLEX003	unknown string escape; the escapes are `\n` `\t` `\r` `\e` `\0` `\"` `\\`, and a newline, which continues the string
KLEX004	unterminated block comment: this `/*` is never closed, and block comments nest
KLEX005	`;` is not Kira syntax: a statement ends where its grammar ends
KLEX006	byte-order mark inside the file: a UTF-8 byte-order mark is accepted only as the first bytes of a file
KPAR001	expected …, found …
KPAR002	a stray token at top level, or two list elements with nothing between them; a comma is required and newlines do not separate them
KPAR003	expected an annotation name after `@`
KPAR004	expected a function name
KPAR005	expected a parameter name
KPAR006	expected a type name
KPAR007	expected a struct name
KPAR009	expected `let`, `var`, or `function` to start a struct member, found …
KPAR010	expected a member name
KPAR011	a binding needs an `=` initializer; definite initialization begins at the declaration
KPAR012	expected a loop variable
KPAR014	expected an enum variant name to start a `match` arm
KPAR015	expected a name to bind the variant's payload to
KPAR016	expected a module name after `import`
KPAR017	expected a name after `as`
KPAR020	expected an expression, found …
KPAR021	integer literal does not fit in a 64-bit integer
KPAR022	expected a field name after `.` in a construction override
KPAR023	expected a field name in a struct literal, found …
KPAR024	expected `=` after a field name in a struct literal
KPAR030	expected an enum name
KPAR031	expected an enum variant name, found …
KPAR032	expected a type alias name
KPAR033	expected a class name
KPAR034	expected a parent type name
KPAR035	`override` a field with `let`: the inherited field already decided whether it is mutable
KPAR037	expected `function` or `let` after `override`, found …
KPAR038	expected `->` in a function type
KPAR039	expected a closure parameter name, found …
KPAR040	a trailing closure must follow a call, a name, or a method
KPAR041	only `@Export` may annotate a class; `@Main`, `@MainThreadLifecycle`, `@MainThread`, `@Runtime`, and `@Native` select how a *function* runs
KPAR042	expected `function` after an annotation in a class body
KPAR043	a struct cannot be `@Export`: an export boundary carries one tag and one word, so only a class crosses — as an opaque handle. Declare this a `class` to export it
KPAR044	expected a type parameter name, found …
KPAR045	expected `>` to close a type parameter list
KPAR046	a type parameter list names at least one parameter
KPAR047	a generic `…` member is not supported; write the concrete types out
KPAR048	expected `{` to open the `…` block
KPAR049	expected a field name in the `…` block
KPAR050	expected `:` after an `…` field name
KPAR051	expected a field value in the `…` block
KPAR052	expected `,` between `…` fields
KPAR053	unknown qualified annotation `@……`; the `@FFI.*` family is `Extern`, `Syscall`, `Struct`, `Pointer`, `Alias`, `Array`, and `Callback`
KPAR054	an `…` function has no body; its declaration ends with the signature
KPAR055	expected a function body; only an `@FFI.Extern` or `@FFI.Syscall` function is bodyless
KPAR056	`…` annotates a foreign *function*, not a struct; a C-layout type is `@FFI.Struct`
KPAR057	expected a construct name
KPAR058	expected a construct family name after `extends`
KPAR059	expected `let`, `function`, or an annotated member to start a construct member, found …
KPAR060	`@Required` annotates a `let` or `function` member
KPAR061	`@…` is not a construct member annotation
KPAR062	a `@Required` member has no computed body: it is a value the backed declaration supplies
KPAR063	`@Content` annotates a `let` child-slot member
KPAR064	`@Consuming` annotates a `function` member
KPAR065	a `@Required function` states a signature and has no body; a member with a body is an ordinary `function` member
KPAR066	a `requires` section lists `function` signatures, found …
KPAR067	an `init` writes no result type: it produces the declaration it is written in
KPAR068	expression nests more than … levels deep
KPAR070	float literal is out of range
KPAR071	expected a trait name
KPAR072	expected a trait name
KPAR073	a trait declares `function` members; a signature with no body is a requirement and one with a body is a default, found …
KPAR074	only a method declares a `self` receiver, and this declaration runs on no value; drop the receiver
KPAR075	write `borrow self` or `borrow mut self`: a receiver borrows, and a bare `self` would read as a method that consumes the value it was called on
KPAR076	an `extend` block implements one trait; write a second block for the second trait
KPAR077	a construct with a parameter list is a declaration backed by a family, so it has to name one: write `extends <Family>`. A construct with no parameter list is the family template itself
KPAR078	a declaration is backed by one family: its members are that family's, and a second would be a second set for one value to provide
KPAR079	expected a trait name in a type parameter's bound
KPAR080	expected a constant name
KPAR081	a module-scope `let` needs an `=` initializer
KPAR084	expected a name after `distinct`
KPAR085	a `distinct` declaration needs `= Representation`, the type it is at run time
KPAR086	a `distinct` type is already copyable — its representation is a scalar word — so `@Derive(Copy)` claims nothing; drop it
KPAR087	a `distinct` declaration takes no annotation: it names a type, runs no body, and crosses the C seam as the representation it is
KMAC001	a `name!(…)` call site names no macro
KMAC002	a `name!(…)` call site passed the wrong number of fragments
KMAC003	an `expr` fragment was given something that is not an expression
KMAC004	a `place` fragment was given a non-assignable argument
KMAC005	a statement-only macro was used in expression position
KMAC006	a `comptime macro` has no `kind`, or names one that does not exist
KMAC007	a macro was applied to a declaration kind not in its `appliesTo`
KMAC008	`appliesTo` is present on a `function` macro or missing elsewhere
KMAC009	a `#{ … }` splice of a value with no splice rule
KMAC010	the expansion depth limit was exceeded
KMAC011	`@Derive(X)` where `X` is not a `derive`-kind macro
KMAC012	a `comptime macro`'s `expand` does not match its `kind`
KMAC013	`Identifier(text)` was handed text no identifier can spell
KMAC014	a `quote { … }` or `#{ … }` in an `expand` body never closes
KMAC016	a statement-position expansion that does not parse as statements
KMAC017	an expression-position expansion that is not a single expression
KMAC020	an `expand` body used a construct the evaluator does not support
KMAC021	a macro raised `Diagnostics.error`, `.warning`, or `.note`
KMAC022	`Ksl.compile` could not compile the shader it names
KMAC023	`Ksl.compile` was passed other than two arguments
KMAC024	`Ksl.compile` was passed a path that is not a string literal
KMAC025	`Syntax.dropField` named a field the declaration does not have
KMAC026	unknown macro `f`
KMAC027	unknown macro `f`
KMAC028	unknown macro `f`
KMAC029	unknown macro `f`
KMAC030	unknown macro `f`
KSEM003	`…` is already defined with these parameters
KSEM004	class `…` is already defined
KSEM005	struct `…` already has a field named `…`
KSEM006	construct family type `Any …` is already defined
KSEM007	enum `…` already has a variant named `…`
KSEM010	a program may declare only one `@Main` entrypoint
KSEM011	program has no `@Main` function to run
KSEM012	an entrypoint must take no parameters
KSEM020	binding annotated `…` cannot hold a value of type `…`
KSEM021	cannot assign to, append to, mutate through, or mutably borrow an immutable binding; declare it with `var`
KSEM022	cannot assign a value of type `…` to a place of type `…`
KSEM023	cannot assign to undefined name `…`
KSEM024	cannot assign to immutable field `…` of `…` (declare it with `var`)
KSEM025	cannot assign to immutable binding `…` (declare it with `var`)
KSEM027	`…` is not in scope in this file; a sibling file's `import …` does not carry over — add `import …` here
KSEM030	function must return a value of type `…`
KSEM031	a `Void` function cannot return a value
KSEM032	Kira could not find a module for import `…`; expected to find it at `…kira` beside the program
KSEM033	`…` may finish without returning a value
KSEM040	condition must be `Bool`, found `…`
KSEM041	`break` outside of a loop has nothing to break
KSEM042	`break` or `continue` outside a loop has nothing to leave
KSEM043	a `for` range bound must be `Int`, found `…`
KSEM050	unknown generic type `…`
KSEM051	a declaration cannot hold a type declared later in the file, or declared in a file this one does not import
KSEM052	struct `…` cannot contain itself by value: its fields form a cycle with no finite size. Hold one of them behind an array (`[…]`) or an enum to break it
KSEM059	this `override` restates `…` as `…`, but the inherited field is `…`; an override keeps the type it rebinds
KSEM060	undefined name `…`
KSEM061	call to undefined function `…`
KSEM062	`…` takes … constructor argument(s), found …
KSEM063	constructor argument … of `…` expects `…`, found `…`
KSEM064	class `…` inherits from itself through its parents
KSEM065	`…` is already a parent of this class
KSEM066	`…` must match the signature it overrides from `…`
KSEM067	`…` is inherited from `…`; qualify it to say which … is meant
KSEM068	`…` is inherited from `…`; qualify it to say which … is meant
KSEM069	`…` can only qualify a member inside a method of a class that inherits from it
KSEM070	operator `…` cannot apply to `…`
KSEM071	operator `…` cannot combine `…` and `…`
KSEM072	`…` overrides no inherited field
KSEM073	`…` overrides no inherited method
KSEM074	`…` is already inherited; write `override let … = ...` to give it a new default
KSEM080	`print` takes exactly one argument, found …
KSEM081	`print` cannot format a value of type `…`
KSEM082	a field of a construct-backed declaration has no value and no default
KSEM090	type `…` has no fields, so it has no field `…`
KSEM091	struct `…` has no field `…`
KSEM092	a struct literal names a function or an unknown struct
KSEM093	field `…` is initialized twice
KSEM094	field `…` of `…` expects `…`, found `…`
KSEM095	a struct literal is missing a field that declares no default
KSEM096	type `…` has no methods, so it has no method `…`
KSEM097	construct family `…` has no method `…`
KSEM100	cannot index a value of type `…`; only an array can be indexed
KSEM101	`append` is a method: write `xs.append(value)`
KSEM102	an array index must be an `Int`, found `…`
KSEM103	`append` takes exactly one argument, found …
KSEM104	cannot tell what `[]` holds here; annotate the binding (`var xs: [Int] = []`)
KSEM105	an array of `…` cannot hold an element of type `…` (Kira does not widen numbers)
KSEM106	cannot iterate a value of type `…`; `for` takes an array (`for x in xs`) or a range (`for i in 0..n`)
KSEM107	`…` was moved and is no longer available here
KSEM108	Passing `…` to `…` transfers ownership
KSEM109	Cannot mutably borrow immutable binding `…`
KSEM110	`…` was already moved
KSEM111	`…` is borrowed and cannot be moved by this scope
KSEM113	Passing `…` to `…` copies a non-trivial value
KSEM114	`…` borrows this argument, so `move` is not allowed here
KSEM115	`…` copies this argument, so `move` is not allowed here
KSEM117	closure captures `…`, which is declared `var` and cannot be moved into shared storage
KSEM118	an enum payload may not be of type `…`; a payload may be `Int`, `Float`, `Bool`, `String`, `Any`, a pointer, an array, a struct, or another enum
KSEM119	enum `…` has no variant `…`
KSEM120	enum `…` has no variant `…`
KSEM121	variant `…` takes no payload
KSEM122	variant `…` takes exactly one payload value
KSEM123	variant `…` expects a payload of `…`, found `…`
